1,Eagle,Flagstick,eagle.flagstick@somedomain.com,M,12.9
2,Bogey,Man,bogey.man@somedomain.com,M,12.4
3,Par,Teehard,par.teehard@somedomain.com,M,14.8
4,Shank,Uverymuch,shank.uverymuch@somedomain.com,M,16.3
5,Divot,Greenway,divot.greenway@somedomain.com,M,14.6
6,Chipper,Bunker,chipper.bunker@somedomain.com,M,10.9
7,Caddy,Shacklette,caddy.shacklette@somedomain.com,F,17.3
8,Teeina,Cupholder,teeina.cupholder@somedomain.com,F,15.8
9,Greena,Fairways,greena.fairways@somedomain.com,F,13.4
10,Flaggy,Polester,flaggy.polester@somedomain.com,F,9.3
11,Tee,Belowpar,tee.belowpar@somedomain.com,F,11.1
12,Birdie,Puttmore,birdie.puttmore@somedomain.com,F,18.1
13,Ball,Finder,ball.finder@somedomain.com,O,11.3
14,Grip,Firmly,grip.firmly@somedomain.com,O,10.6
15,Tee,Irons,tee.irons@somedomain.com,O,9.5
16,Wedge,Sandtrap,wedge.sandtrap@somedomain.com,O,14.1
17,Chip,Putt,chip.putt@somedomain.com,O,15.2
18,Stroll,Thegreen,stroll.thegreen@somedomain.com,O,12.3
19,Whada,Divot,whada.divot@somedomain.com,F,13.9
20,Stymie,Driver,stymie.driver@somedomain.com,O,19.4
21,Ooh,Slice,ooh.slice@somedomain.com,F,19.5
22,Yardage,Fore,yardage.fore@somedomain.com,M,6.2
23,Dang,Obstacle,dang.obstacle@somedomain.com,M,7.0
24,Tee,Lie,tee.lie@somedomain.com,M,6.8
25,Moor,Elevation,moor.elevation@somedomain.com,F,13.5
26,Out,Jungle,out.jungle@somedomain.com,O,11.4
27,Umbrella,Lie,umbrella.lie@somedomain.com,F,9.3
28,Out,Hazard,out.hazard@somedomain.com,F,8.5
29,Hybrid,Tool,hybrid.tool@somedomain.com,O,14.2
30,Drop,Shot,drop.shot@somedomain.com,O,11.9
31,Chip,Ball,chip.ball@somedomain.com,M,10.0
32,Pond,Recovery,pond.recovery@somedomain.com,O,18.5
33,Omi,Victory,omi.victory@somedomain.com,O,11.2
34,Zinger,Nassau,zinger.nassau@somedomain.com,M,9.6
35,Loft,Par,loft.par@somedomain.com,M,5.6
36,Wow,Zer,wow.zer@somedomain.com,F,5.5
